dataset,split_mode,model,n_folds,mae_norm_mean,mae_norm_std,rmse_norm_mean,rmse_norm_std,psnr_norm_mean,psnr_norm_std,ssim_norm_mean,ssim_norm_std,mae_kpa_mean,mae_kpa_std,rmse_kpa_mean,rmse_kpa_std,spearman_pixel_mean,spearman_pixel_std,n_eval_samples_mean,n_eval_samples_std,train_count_mean,train_count_std,val_count_mean,val_count_std,test_count_mean,test_count_std,crps_norm_mean,crps_norm_std,cov50_mean,cov50_std,width50_norm_mean,width50_norm_std,cov80_mean,cov80_std,width80_norm_mean,width80_norm_std,cov90_mean,cov90_std,width90_norm_mean,width90_norm_std,cov95_mean,cov95_std,width95_norm_mean,width95_norm_std,uncertainty_error_spearman_mean,uncertainty_error_spearman_std,failure_auroc_top10_abs_error_mean,failure_auroc_top10_abs_error_std,uce_mean,uce_std,ence_mean,ence_std,ause_abs_error_mean,ause_abs_error_std,pit_mean_mean,pit_mean_std,posterior_std_norm_mean_mean,posterior_std_norm_mean_std,calibration_target_coverage_mean,calibration_target_coverage_std,calibration_scale_90_mean,calibration_scale_90_std,residual_scale_mean,residual_scale_std
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,unet_canonical_bxyz,5,0.07620662152767174,0.005847208180828567,0.1597241896362851,0.01111142228300557,15.952510049920571,0.5804727421895871,0.40175780381720794,0.031336928091954354,3.0029790878295897,0.26313921076131963,9.790548601937678,1.2586242981435785,0.5232865141610403,0.04028421831069431,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.07620662152767174,0.005847205448174004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.15752251651626747,0.010473667635781437,,,0.060006350169811394,0.005548598562388418,0.10815576463937752,0.0035279586852829145,0.0,0.0,,,,,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,residual_likelihood_guided_diffusion,5,0.07888677567243571,0.005771020453716557,0.16031233083536087,0.010987281911398961,15.92003699026911,0.5727072557240341,0.23350674409884956,0.026756478992276962,3.023147773742676,0.2676243540673527,9.822303028372682,1.2706383148329934,0.5139534871418372,0.03213083264279915,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.07392924875020974,0.005933269065982607,0.01371847316622728,0.01960200217019113,0.0118154419586062,0.000555851199364269,0.03052027821540828,0.042791888390927686,0.02201938293874258,0.0009461841648100757,0.05213130116462704,0.06613625789990203,0.027675507962703662,0.0010854282957871572,0.07952863276004787,0.08617572060407211,0.03185361549258226,0.0011387687507660041,0.6093027407146584,0.044305054639276975,0.8367556797271811,0.024880328024532446,0.12929425569369257,0.012821689639860991,14.114489765883073,2.395881718303601,0.01521760524211246,0.002405008221293333,0.12278118729591363,0.016905206858460066,0.00894376747310158,0.00035727985052679397,,,,,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,residual_likelihood_guided_diffusion_calibrated90,5,0.07888677716255182,0.005771020119882459,0.16031233204379375,0.010987281232233593,15.920036922171908,0.5727072174593646,0.23350665703809886,0.02675648858458099,3.02314772605896,0.2676243880715831,9.822303194750114,1.270638229576115,0.5139534883847057,0.03213083309624065,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.0664313912391662,0.0038810327114283142,0.818458616733551,0.0113157238322661,0.14948844015598292,0.012725708849909484,0.8814000606536865,0.012874435311034238,0.2786924719810485,0.024336594214879322,0.9064288258552551,0.013258943571133228,0.35037004947662354,0.03096561956556486,0.9214810252189636,0.0128619782623901,0.4033304274082184,0.03573690536494392,0.6093027508971677,0.04430504222605238,0.8367556803185201,0.024880327620341015,0.033430460648355344,0.013208478609774265,0.28931963549155915,0.16401076432801676,0.015217596462227059,0.002405014856361809,0.4295873761177063,0.010615486265047151,0.11320521682500835,0.009784451759417247,0.9,0.0,12.671771049499512,1.1166843342602555,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,prior_init_diffusion_unet_calibrated90,5,0.07888934761285776,0.005767329165155076,0.16034052647519745,0.010994073061861684,15.918524699015265,0.5729182840247875,0.23360237775083914,0.02691065178445739,3.0238021850585937,0.2673622373162854,9.823378042300078,1.2700444645997941,0.5140707774007899,0.03171747395272185,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06648313105106349,0.003854744092793964,0.8183639526367188,0.011338706048824657,0.149887678027153,0.01349193979165,0.881391966342926,0.013042985616846497,0.27944508790969846,0.025601698662506604,0.9065973162651062,0.013512329293425685,0.35143152475357053,0.03252210739193958,0.9214779138565063,0.01293985005781846,0.4045384407043457,0.03742541362388067,0.6090190739471963,0.043883005686128594,0.83726236597716,0.02430233861589277,0.033502001507394,0.013309976224090627,0.28919209202320006,0.1648211355365673,0.015124824026482842,0.0022769622896720854,0.42981127500534055,0.010825623209206546,0.11352021843194955,0.010275249239970832,0.9,0.0,12.705990409851074,1.161228923604886,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,prior_init_diffusion_unet,5,0.07888934463262552,0.005767326719458774,0.16034052768349988,0.01099407238191969,15.918524630932769,0.572918245714219,0.2336023908287573,0.026910617403469134,3.023802089691162,0.26736221017802236,9.823378193893877,1.2700444935087893,0.5140707782576666,0.03171747494541424,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.07393154948949808,0.005933523664717448,0.013738720118999459,0.019676976329373805,0.0118150316178798,0.0005791845488271066,0.030605903267860373,0.04302578050995018,0.0220193907618522,0.0009776630480265614,0.052415055036544776,0.06663243434982619,0.027684307470917664,0.0011194134876844238,0.0799505978822708,0.08666290749906878,0.031862892583012545,0.0011713183046574449,0.6090190720517297,0.04388299498946212,0.837262365747933,0.02430233823236008,0.12929561352737817,0.012832273538043433,14.106874214211183,2.403738430875492,0.015124823180947938,0.002276962390008814,0.12287670373916622,0.017010917892252893,0.008944566920399622,0.00036843397051949863,,,,,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_likelihood_guided_diffusion,5,0.09562802314758297,0.01668106518262786,0.16506818632525377,0.010397830223482755,15.663658383269782,0.5398360715534145,0.18386094730096653,0.0754199716818777,3.253424119949341,0.3702206454289116,9.858100949869424,1.233735948333714,0.5149057582012093,0.03323201730172287,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06707902699708934,0.010920437347872534,0.4041731595993042,0.2369813288444434,0.048399312794208484,0.010404429834754637,0.6068239688873291,0.21681338951843443,0.12347605675458903,0.030774972922798516,0.7297416090965271,0.14244072367705024,0.19026166051626198,0.046003150241493866,0.8011765122413635,0.08884362103371815,0.24827133417129513,0.056241924408052806,0.7418694515116899,0.0578738193126869,0.7619764649020639,0.034154103906686925,0.08318583515213365,0.01071282788863467,1.8804258220946923,0.850267615936225,0.021345205559384323,0.0026458064249785776,0.32380942106246946,0.10621734912927466,0.07158337682485574,0.01489597078404853,,,,,0.7360504031181335,0.009246034947576389
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_likelihood_guided_diffusion_calibrated90,5,0.09562802463769907,0.016681066215226643,0.16506818632525377,0.010397830223482755,15.663658383269782,0.5398360715534145,0.18386095930517715,0.07541995332976748,3.253424119949341,0.3702206454289116,9.858100652509544,1.2337358507811218,0.5149057584352581,0.03323201838188052,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06388726308941836,0.006584504407481585,0.6808593153953553,0.07324297248943458,0.0933290615677833,0.02375210699405431,0.8592028141021728,0.014761720028176224,0.23815998136997218,0.06945748337624177,0.9111650943756103,0.010071244884311523,0.3673197627067566,0.10528541173351721,0.9376193761825562,0.009458758387791368,0.47924519777297975,0.12960917016967452,0.7418694540159876,0.05787381692370199,0.7619764646424174,0.03415410386773352,0.035526371982503156,0.00552146475118387,0.574490021148993,0.3303308982088502,0.02134520391066706,0.0026458079735175786,0.4597155570983887,0.07176918867542575,0.13775941878557202,0.033181035162064554,0.9,0.0,1.942033553123474,0.2829107762972161,0.7360504031181335,0.009246034947576389
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_target_diffusion_calibrated90,5,0.09541201591491695,0.015764354596542123,0.1652829890244064,0.010385073699591539,15.652258761898633,0.5380550288719282,0.18396688178271195,0.07373421835719804,3.2519145965576173,0.3572275812621721,9.858854994442648,1.2647269625740754,0.51495409229475,0.0378953135770817,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06403730437159535,0.006196193787153776,0.6850851774215698,0.07227619845457478,0.09543574005365367,0.023644162677325622,0.8624234676361084,0.013183193496319946,0.24232977330684663,0.06729317799648207,0.9109279394149781,0.011132208658283915,0.3717715084552765,0.09974249253293065,0.9375339269638061,0.011475905842382034,0.4849173784255981,0.12361573079692957,0.7434057918358802,0.04346209084771948,0.7620244424589864,0.027978671229194074,0.0350646618771928,0.006927148659257698,0.5618777061619873,0.3127429346017996,0.02116011720737072,0.0026663268172413463,0.46435712575912474,0.0725714562750795,0.13991564661264416,0.031874172832022485,0.9,0.0,1.9856940507888794,0.30736407575815233,0.7360504031181335,0.009246034947576389
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_target_diffusion,5,0.09541201442480082,0.01576435386109181,0.16528299012374242,0.010385074138969452,15.652258705541993,0.5380550531983437,0.18396687670073542,0.07373420812826609,3.251914548873901,0.3572276339913417,9.858854994442648,1.2647269625740754,0.514954092223063,0.03789531413697629,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06693020090460773,0.010263316330703152,0.40978546142578126,0.23711594836834532,0.048567140102386434,0.010653686152135446,0.6130658626556397,0.2097072074239256,0.12341501265764232,0.030758218762034717,0.7346580505371094,0.1314208780813441,0.18905964195728298,0.044496478660204605,0.8028316736221314,0.07878247592286983,0.2465101659297943,0.05447014461573809,0.7434057939846122,0.043462088502184325,0.7620244428441434,0.027978671819962685,0.08307243116854288,0.011130165254593125,1.8565637711302376,0.7143617730719946,0.02116011757660664,0.0026663262196114207,0.325671374797821,0.10493811618257658,0.07133020088076585,0.014590407494484108,,,,,0.7360504031181335,0.009246034947576389
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,srcnn_bz_single_channel,5,0.11506998538970943,0.002743951870925382,0.2036725295499529,0.007094476775416358,13.826722710464756,0.3069640514692241,0.17103345101484307,0.00813661350405317,3.844990873336792,0.24718291641810403,11.853121741145504,1.0836553061705645,0.3495643248670414,0.03693205052647553,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.11506998687982554,0.0027439530735775012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.20155210874507662,0.007208470273198882,,,0.08521559197182206,0.004503966493400375,0.138684669137001,0.006447736608831972,0.0,0.0,,,,,,
